"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","barrio","umenores"
"103","onlyap599232738a46554f807af449103","https://www.only-apartments.es/_/513983",-1.9851035,43.3159615,"2018-03-31 17:54:14.779000","2018-04-24 04:19:00.599000","onlyap513983","Apartamento",NA,4,NA,1,NA,"Centro","Area Romantica"
"104","onlyap599232738a46554f807af449104","https://www.only-apartments.es/_/917319",-1.98631620000003,43.3163127,"2018-04-17 11:33:38.546000","2018-04-24 10:58:11.629000","onlyap917319","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"105","onlyap599232738a46554f807af449105","https://www.only-apartments.es/_/917361",-1.98653630000001,43.3162471,"2018-04-17 11:34:30.308000","2018-04-18 17:20:07.853000","onlyap917361","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"106","onlyap599232738a46554f807af449106","https://www.only-apartments.es/_/513981",-1.98733,43.3154,"2018-04-22 22:41:59.992000","2018-04-24 04:13:20.038000","onlyap513981","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"107","onlyap599232738a46554f807af449107","https://www.only-apartments.es/_/742554",-1.987655,43.315247,"2018-03-31 17:54:29.299000","2018-04-18 17:13:02.003000","onlyap742554","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"108","onlyap599232738a46554f807af449108","https://www.only-apartments.es/_/737676",-1.987655,43.315247,"2018-03-31 17:55:09.509000","2018-04-18 21:09:47.390000","onlyap737676","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"109","onlyap599232738a46554f807af449109","https://www.only-apartments.es/_/639745",-1.987432,43.315253,"2018-03-31 17:55:31.685000","2018-04-18 23:03:44.785000","onlyap639745","Apartamento",NA,10,NA,3,NA,"Centro","Area Romantica"
"110","onlyap599232738a46554f807af449110","https://www.only-apartments.es/_/917245",-1.98685169219971,43.3149679861842,"2018-04-17 11:37:48.585000","2018-04-18 20:37:16.156000","onlyap917245","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"111","onlyap599232738a46554f807af449111","https://www.only-apartments.es/_/917263",-1.98671221733093,43.3153153625207,"2018-04-17 11:39:09.268000","2018-04-18 21:35:11.923000","onlyap917263","Apartamento",NA,7,NA,3,NA,"Centro","Area Romantica"
"112","onlyap599232738a46554f807af449112","https://www.only-apartments.es/_/917374",-1.98606540000003,43.3157378,"2018-04-17 11:32:31.317000","2018-04-24 01:21:28.263000","onlyap917374","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
