"","id","latitude","longitude","price","accommodates","room_type","host_id","host_name","source","barrio","umenores"
"92",13904780,43.3164144445308,-1.98762818397884,120,6,"Entire home/apt",50920106,"Concepcion","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"93",16182153,43.3170459868549,-1.98754158520626,113,10,"Entire home/apt",105663223,"Pedro","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"94",11840392,43.3235467229413,-1.97877376089534,60,2,"Private room",149691,"Alex","InsideAirbnb,Santi Espinosa","Gros","Gros"
"95",2452343,43.3180988764263,-1.98366204137665,85,6,"Entire home/apt",4614604,"Apartamentos Donostia","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"96",12544893,43.3217942700222,-1.98637176356633,63,2,"Private room",67141855,"Isabel & Aitor","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"97",1895286,43.3061761617841,-1.9695141401529,95,7,"Entire home/apt",9848033,"Lola","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"98",6978924,43.312716720413,-1.98835362703974,110,6,"Entire home/apt",36595893,"Pomen","InsideAirbnb,Santi Espinosa","Aiete","Arbaizenea"
"99",13737301,43.2971698901949,-1.97330527643236,38,2,"Private room",76289581,"Asier","InsideAirbnb,Santi Espinosa","Miramon-Zorroaga","Iyola"
"100",12213602,43.294502861222,-1.95521894546718,32,1,"Private room",22790655,"Mai","InsideAirbnb,Santi Espinosa","Martutene","Martutene"
"101",13573456,43.3201122707292,-1.98311823883691,110,2,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"102",10427709,43.3115026683868,-2.00506241004192,90,6,"Entire home/apt",53442582,"Jose Luis","InsideAirbnb,Santi Espinosa","Antiguo","Benta - Berri"
"103",3677490,43.3188236209979,-1.98029210130773,38,1,"Private room",18679491,"Alicia","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"104",10444083,43.3239133705462,-1.96950406844044,88,4,"Entire home/apt",18192487,"José Mari","InsideAirbnb,Santi Espinosa","Gros","Gros"
"105",10064404,43.3187671761341,-1.98097344543658,220,4,"Entire home/apt",13343635,"Andrea","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"106",13147422,43.3222475323187,-1.98409650166919,500,2,"Private room",73303284,"Aitor","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"107",6536472,43.3161289984238,-1.98614444765785,156,6,"Entire home/apt",1589633,"Emy","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"108",14114054,43.3188011414927,-1.95619248462828,80,3,"Entire home/apt",85046454,"Edurne","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Berri"
"109",846379,43.3079948327576,-2.00726763887998,45,2,"Private room",2883088,"Maria","InsideAirbnb,Santi Espinosa","Antiguo","Benta - Berri"
"110",2235597,43.3161697459273,-1.98680614990447,95,6,"Entire home/apt",10650761,"Andrey","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"111",10435804,43.3160523944924,-2.00219574779108,185,2,"Entire home/apt",51420363,"Martín","InsideAirbnb,Santi Espinosa","Antiguo","Ondarreta"
"112",16202955,43.317394185936,-1.97589652573612,62,2,"Private room",33887248,"Maria","InsideAirbnb,Santi Espinosa","Egia","Atotxa"
"113",13335756,43.3103988791098,-1.98067290295401,160,5,"Entire home/apt",2035832,"Iñigo","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"114",13925568,43.3250646090876,-1.98903973204685,74,1,"Private room",58765351,"Nawal","InsideAirbnb,Santi Espinosa","Centro","Monte Urgull"
"115",10394819,43.3164755735561,-1.98483414850752,40,2,"Private room",52323145,"Xin","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"116",1170609,43.3191884419753,-1.98183589196831,170,4,"Entire home/apt",6201019,"M Carmen","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"117",4144262,43.3179636307537,-1.97918021178614,71,2,"Entire home/apt",20267369,"Nora","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
