estado,tipo,dirección,longitude,latitude
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 6, 01 - Iz  (1º Izda.Izda. Letra B)",-1.9760573962,43.3216329398
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 7, 03 - Iz",-1.9759931643,43.3218224496
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 7, 06 - Iz",-1.9759931643,43.3218224496
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 10.A, 03 - A",-1.9757703565,43.3216945716
VUT_Favorable,Viviendas de uso turístico,"Miracruz 13, 02 - A",-1.9742860893,43.3221844407
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 13, 05 - D",-1.9742787669,43.3221871664
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 13, 06 - A",-1.9742860893,43.3221844407
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 13, 06 - B",-1.9742860893,43.3221844407
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 13, 06 - C",-1.9742860893,43.3221844407
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 16, 07 - Dr",-1.9746378442,43.3218977402
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 17A, En - A",-1.9732256613,43.3223979666
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 17.A, 05 - Cn",-1.9732256613,43.3223979666
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 17.C, 01 - Iz",-1.9729678682,43.3224142912
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 21, 02 - Iz",-1.9722044388,43.3224070728
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 26, 02 - A",-1.9735854819,43.3221526724
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 27, 03 - Iz",-1.9717859897,43.3224060129
VUT_Tramitacion,Viviendas de uso turístico,"Miracruz 28.B, 03 - Iz",-1.9732950376,43.3222111159
VUT_Tramitacion,Viviendas de uso turístico,Miramar 5,-1.9841585672,43.3191497961
VUT_Favorable,Viviendas de uso turístico,"Misericordia 4, 01 - C",-1.974421318,43.3217778398
VUT_Tramitacion,Viviendas de uso turístico,"Moraza 1.B, 06 - A",-1.9804233774,43.3146447419
VUT_Favorable,Viviendas de uso turístico,"Moraza 5, 01 - Dr",-1.9805649895,43.3145904465
VUT_Favorable,Viviendas de uso turístico,"Moraza 11, 01 - Dr",-1.9812696314,43.3143240686
VUT_Tramitacion,Viviendas de uso turístico,"Moraza 11, 01 - Iz",-1.9812696314,43.3143240686
VUT_Favorable,Viviendas de uso turístico,"Moraza 12, 01 - Dr",-1.9813127159,43.3144541173
VUT_Tramitacion,Viviendas de uso turístico,"Moraza 13, -1",-1.981359714,43.314290834
VUT_Tramitacion,Viviendas de uso turístico,"Moraza 13, 02 - Dr",-1.981359714,43.314290834
VUT_Tramitacion,Viviendas de uso turístico,"Moraza 14, 05 - Iz",-1.9814526878,43.3144019672
VUT_Tramitacion,Viviendas de uso turístico,"Moraza 18, 05 - Iz",-1.9816429424,43.3143294643
VUT_Favorable,Viviendas de uso turístico,"Muelle, Ps del 3, 01 - Iz",-1.9882323396,43.3236191819
VUT_Tramitacion,Viviendas de uso turístico,"Muelle, Ps del 27, 01",-1.9913775768,43.3229960283
VUT_Tramitacion,Viviendas de uso turístico,"Muelle, Ps del 32, 01  (1º Izda.)",-1.9919207896,43.3229183365
VUT_Tramitacion,Viviendas de uso turístico,"Nafarroa Beherea, Pz 4, 02 - A",-1.9721361908,43.3234484594
VUT_Tramitacion,Viviendas de uso turístico,"Nafarroa Beherea, Pz 5, 05 - A",-1.9722966844,43.3233366252
VUT_Favorable,Viviendas de uso turístico,"Navarra,Av de 2  1º Izda.",-1.9714874234,43.3261840439
VUT_Tramitacion,Viviendas de uso turístico,"Navarra,Av de 24, 06 - B",-1.9693724995,43.3245506799
VUT_Favorable,Viviendas de uso turístico,"Navarra,Av de 30  Entresuelo Derecha-Derecha",-1.9687381831,43.3240181993
VUT_Favorable,Viviendas de uso turístico,"Navarra,Av de 30  Entresuelo Derecha-Izquierda",-1.9687381831,43.3240181993
VUT_Favorable,Viviendas de uso turístico,"Navarra,Av de 32, 01 - Iz",-1.9685205211,43.3238927848
VUT_Favorable,Viviendas de uso turístico,Ntra. Sra. del Coro 7  Gure Ametsa  Bajo,-1.9511411194,43.3188869712
VUT_Favorable,Viviendas de uso turístico,"Ntra.Sra.Aranzazu,Gr 43, -1 Bajo S/N",-2.0005955866,43.3137912356
VUT_Tramitacion,Viviendas de uso turístico,"Nueva 10, 06 - A",-1.9762037964,43.3224036845
VUT_Tramitacion,Viviendas de uso turístico,"Oiartzun 2, 07 - A",-1.9681086014,43.3227111914
VUT_Tramitacion,Viviendas de uso turístico,"Oiartzun 5, 02 - C",-1.9677165864,43.322802291
VUT_Tramitacion,Viviendas de uso turístico,"Oiartzun 6, 01 - C",-1.9677772382,43.3226946944
VUT_Tramitacion,Viviendas de uso turístico,"Okendo 9, 05",-1.9803474941,43.3207460566
VUT_Tramitacion,Viviendas de uso turístico,"Ondarbide 3, 07",-2.0028878731,43.3140864212
VUT_Tramitacion,Viviendas de uso turístico,"Ondarreta, Ps de 7, 06 - C",-2.0080919054,43.3133214468
VUT_Tramitacion,Viviendas de uso turístico,"Ondarreta, Ps de 8, 04 - B",-2.0068434747,43.3143132652
VUT_Tramitacion,Viviendas de uso turístico,"Ondarreta, Ps de 14, 02 - B",-2.007704943,43.3138748392
VUT_Tramitacion,Viviendas de uso turístico,"Ondarreta, Ps de 15, 01 - C",-2.0091834841,43.3127824436
VUT_Tramitacion,Viviendas de uso turístico,"Pablo Sarasate 10, 03 - B",-1.9711604588,43.3086207045
VUT_Tramitacion,Viviendas de uso turístico,"Padre Larroca 3, 02 - Iz",-1.9738077573,43.3225244816
VUT_Favorable,Viviendas de uso turístico, Padre Larroca 5  1º C,-1.9739201517,43.3226101323
VUT_Tramitacion,Viviendas de uso turístico,"Padre Larroca 6, 03 - A",-1.9737536876,43.322681305
VUT_Favorable,Viviendas de uso turístico,"Padre Larroca 7, 01 - A",-1.9740650412,43.3227216471
VUT_Tramitacion,Viviendas de uso turístico,"Padre Larroca 7, 04 - C",-1.9740650412,43.3227216471
VUT_Favorable,Viviendas de uso turístico,"Padre Vinuesa, Pz del 1  Entreplanta",-1.9880165343,43.3155853479
VUT_Favorable,Viviendas de uso turístico,"Pamplona 5, 00 - A",-2.0051911765,43.3143955237
VUT_Tramitacion,Viviendas de uso turístico,"Pamplona 9, 01 - B",-2.0056576714,43.3145247431
VUT_Favorable,Viviendas de uso turístico,"Pamplona 11, 00 - A",-2.0064223735,43.3147886477
VUT_Tramitacion,Viviendas de uso turístico,"Pamplona 11, 05 - B",-2.0064223735,43.3147886477
VUT_Tramitacion,Viviendas de uso turístico,"Pamplona 15, 00 - A",-2.00675513,43.3148917582
VUT_Tramitacion,Viviendas de uso turístico,"Particu. Ategorrieta 3, 06 - Dr",-1.9703640979,43.3226319298
VUT_Tramitacion,Viviendas de uso turístico,"Pasajes 1, 02 - Iz",-1.9676857549,43.3224161702
VUT_Tramitacion,Viviendas de uso turístico,"Pedro Egaña 6, 06 - Iz",-1.9809773878,43.3136073176
