estado,tipo,dirección,x,y
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   27,    04 - D","583153.31","4796679.49"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   30,    11 - E","583107.33","4796653.69"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   30,    17 - H","583107.33","4796653.69"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   33,    06 - Dr","583147","4796638.15"
VUT_Favorable,"Viviendas de uso turístico","Duque de Mandas,Ps   36,    01 - F","583053.57","4796663.31"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   37,    En - A","583143.43","4796614.24"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   43,    06 - C","583135.43","4796552.58"
VUT_Tramitacion,"Viviendas de uso turístico","Duque de Mandas,Ps   51  8ºa","583152.48","4796488.89"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   12,    06 - Iz  Añorga","582379.9","4796524.05"
VUT_Favorable,"Viviendas de uso turístico","Easo   13  1º A","582368.65","4796577.62"
VUT_Favorable,"Viviendas de uso turístico","Easo   13  1º B","582368.65","4796577.62"
VUT_Favorable,"Viviendas de uso turístico","Easo   16,    1º - C","582404.53","4796477.41"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   19,    03 - Iz","582389.57","4796538.12"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   23,    06 - Iz","582397.13","4796523.86"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   25,    03 - D","582401.07","4796516.5"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   25,    04 - B","582401.07","4796516.5"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   37,    03 - Dr","582459.56","4796405.19"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   51,    01 - Iz","582537.89","4796255.13"
VUT_Favorable,"Viviendas de uso turístico","Easo   51,    01 - Iz","582537.89","4796255.13"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   53,    06 - Dd","582544.04","4796243.6"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   59,    03 - Dr","582557.12","4796218.65"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   63,    01 - Dr","582573.96","4796187.11"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   63,    01 - Iz","582573.96","4796187.11"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   63,    02 - Dr","582573.96","4796187.11"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   67,    06 - C","582584.64","4796167.06"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   71,    03 - D","582596.92","4796144.07"
VUT_Tramitacion,"Viviendas de uso turístico","Easo   71,    05 - D","582596.92","4796144.07"
VUT_Tramitacion,"Viviendas de uso turístico","Easo,Pz de    4,    01 - Dr","582507.01","4796228.75"
VUT_Favorable,"Viviendas de uso turístico","Easo,Pz de    4,    01 - Dr","582507.01","4796228.75"
VUT_Favorable,"Viviendas de uso turístico","Easo,Pz de    4,    01 - Iz","582507.01","4796228.75"
VUT_Tramitacion,"Viviendas de uso turístico","Easo,Pz de    6,    06 - Dr","582506.24","4796201.16"
VUT_Tramitacion,"Viviendas de uso turístico","Egia    8,    00 - Iz","583206.45","4796464.14"
VUT_Tramitacion,"Viviendas de uso turístico","Egia   10,    05 - 3","583223.17","4796464.82"
VUT_Favorable,"Viviendas de uso turístico","Elisabete Maiztegi   13  Villa, Baja y Primera","583412.6","4794079.35"
VUT_Tramitacion,"Viviendas de uso turístico","Elkano    3,    04 - Iz","582448.36","4797067.5"
VUT_Tramitacion,"Viviendas de uso turístico","Errondo,Ps de    2,    04 - Cd","582627.01","4795842.31"
VUT_Tramitacion,"Viviendas de uso turístico","Errondo,Ps de    4-02,    10 - C","582619.86","4795788.92"
