"id"	"name"	"host_id"	"host_name"	"host_since"	"latitude"	"longitude"	"is_location_exact"	"property_type"	"room_type"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"bed_type"	"price"	"availability_365"	"number_of_reviews"	"license"
14292389	"APARTMENT AND FREE GARAGE IN THE HEART OF THE CITY"	28638575	"Aitziber"	"2015-03-02"	43.3163682918926	-1.98286786388966	"f"	"Apartment"	"Entire home/apt"	5	1	2	4	"Real Bed"	"$140.00"	269	11	""
17806759	"3 minutos de la  playa Ondarreta, vistas Igueldo."	121686363	"Maria"	"2017-03-20"	43.3136147728016	-2.00167231871342	"t"	"House"	"Entire home/apt"	4	1	2	2	"Real Bed"	"$60.00"	365	0	""
11620055	"Zurri"	8517912	"Paula"	"2013-08-29"	43.3247384488988	-1.97429047923751	"f"	"Apartment"	"Entire home/apt"	4	1	2	4	"Real Bed"	"$70.00"	127	23	""
6983356	"ONDARRA APARTMENT center / 200m from beach"	3952766	"Jon"	"2012-10-23"	43.3245027881961	-1.97907579937565	"f"	"Apartment"	"Entire home/apt"	3	1	1	2	"Real Bed"	"$95.00"	158	15	""
1339052	"4 bedroom flat in San Sebastian"	7260628	"Iñigo"	"2013-07-03"	43.3148595033688	-2.00157070383937	"t"	"House"	"Entire home/apt"	8	2	4	4	"Real Bed"	"$114.00"	56	12	""
11841200	"Urumea, along the river in the cent"	18192487	"José Mari"	"2014-07-16"	43.3085113877594	-1.97714387396045	"t"	"Apartment"	"Entire home/apt"	4	2	2	2	"Real Bed"	"$80.00"	223	1	"ESS 00445"
14148770	"Habitación en chalet en Donosti"	31570167	"Maialen"	"2015-04-20"	43.2894597300584	-1.98996277268315	"f"	"Chalet"	"Private room"	2	1	1	1	"Real Bed"	"$80.00"	358	3	""
15453886	"The Basque"	94205663	"Paula"	"2016-09-08"	43.3147877526618	-1.98621064127593	"t"	"Apartment"	"Entire home/apt"	4	1	2	3	"Real Bed"	"$140.00"	260	2	""
15388317	"019 / NIZA LA CONCHA, terrace with beach views"	98189424	"Iberorent Apartments"	"2016-10-05"	43.3148736213826	-1.98764510782508	"f"	"Apartment"	"Entire home/apt"	5	2	2	4	"Real Bed"	"$264.00"	0	28	"ESS00403"
16076453	"ZURRIOLA BEACH, REFORMADO, WIFI"	12954077	"Aritz"	"2014-03-09"	43.3262153367113	-1.97310213994966	"t"	"Apartment"	"Entire home/apt"	3	1	0	1	"Real Bed"	"$55.00"	286	9	""
6114948	"Costa | La Concha, WiFi"	15707672	"The Rentals Collection"	"2014-05-19"	43.3146357876388	-1.98938884289356	"t"	"Apartment"	"Entire home/apt"	4	1	2	2	"Real Bed"	"$130.00"	207	26	""
14077558	"Bonito apartamento exterior con vistas a Igeldo"	25365334	"Joseba"	"2014-12-29"	43.3093701952475	-2.00335546006606	"t"	"Apartment"	"Entire home/apt"	4	1	3	4	"Real Bed"	"$90.00"	175	11	""
13389434	"2 hab dobles con Parking incluido para 4 personas"	50920106	"Concepcion"	"2015-12-09"	43.3081945387035	-1.98129464419645	"t"	"Apartment"	"Entire home/apt"	4	2	2	3	"Real Bed"	"$203.00"	91	1	""
14063426	"A 50M. DE LA PLAYA DE LA CONCHA ,CON VISTAS AL MAR"	84424576	"Terence"	"2016-07-18"	43.3223847579304	-1.9851015481238	"f"	"Apartment"	"Private room"	2	1	1	2	"Real Bed"	"$59.00"	350	8	""
7327351	"Apartamento en Donostia"	38381170	"Mari Carmen"	"2015-07-13"	43.3026663584897	-1.97937926102179	"f"	"Apartment"	"Entire home/apt"	5	2	3	4	"Real Bed"	"$160.00"	265	4	""
12504696	"URUMEA APARTMENT"	5254782	"Always Easy"	"2013-02-27"	43.3223619176606	-1.97862219770344	"f"	"Apartment"	"Entire home/apt"	2	1	1	1	"Real Bed"	"$90.00"	262	8	""
14000878	"Yoga house stay | Donosti Chill retreat house- 4"	149691	"Alex"	"2010-06-22"	43.3227645337246	-1.97787339516434	"f"	"Apartment"	"Private room"	1	2.5	1	1	"Real Bed"	"$40.00"	256	2	""
9645009	"familiar mountain house"	49871447	"Ibon"	"2015-11-25"	43.300948335017	-2.07241932794208	"f"	"House"	"Private room"	2	2	1	1	"Real Bed"	"$48.00"	1	15	""
2896777	"SIRIMIRI Confort & Location |OLD TOWN"	3952766	"Jon"	"2012-10-23"	43.3238547585589	-1.98394917856325	"t"	"Apartment"	"Entire home/apt"	2	1	0	1	"Real Bed"	"$75.00"	169	85	""
12725191	"Alojamiento en Donostia"	69188309	"Leandro"	"2016-04-27"	43.3040326825763	-1.97979095254386	"t"	"Apartment"	"Private room"	1	2	1	1	"Real Bed"	"$33.00"	356	12	""
1780666	"Room in Spacious Apt in Old Town"	149691	"Alex"	"2010-06-22"	43.322387335044	-1.98703349647242	"t"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$70.00"	83	50	""
16698309	"AUTOCARABANA EN PARQUIN POR NOCHES"	46137749	"Joxe"	"2015-10-09"	43.3120127385464	-1.96951483039645	"f"	"Camper/RV"	"Entire home/apt"	2	1	2	2	"Real Bed"	"$30.00"	0	0	""
5606296	"Studio near the beach+park.option"	17444441	"Jon"	"2014-06-30"	43.3145246874122	-2.0001070914984	"t"	"Apartment"	"Entire home/apt"	2	1	0	1	"Pull-out Sofa"	"$53.00"	336	88	""
13159326	"Apartamento El antiguo Calle Matia a 400 m playa"	69375962	"Michel"	"2016-04-28"	43.3122600258007	-2.00379056263037	"t"	"Apartment"	"Entire home/apt"	4	1	2	3	"Real Bed"	"$130.00"	62	3	""
6998934	"Frente al mar, en Igeldo"	20367848	"Mariajose"	"2014-08-21"	43.3078309828047	-2.05851505271369	"t"	"House"	"Private room"	2	1	1	1	"Futon"	"$80.00"	360	33	""
10084868	"Piso en el centro + parking"	13343635	"Andrea"	"2014-03-20"	43.3190623455246	-1.98084217950706	"f"	"Apartment"	"Entire home/apt"	4	2	2	2	"Real Bed"	"$215.00"	76	78	""
3484560	"dormitorio abuhardillado"	17544770	"Juana & Aitor"	"2014-07-02"	43.3252836152476	-1.98401206155797	"t"	"Apartment"	"Private room"	2	1	1	2	"Real Bed"	"$49.00"	89	43	""
8039313	"Apartment in the center - WIFI"	42455382	"Oier"	"2015-08-25"	43.3153374565042	-1.98222424391595	"t"	"Apartment"	"Entire home/apt"	4	1	1	2	"Real Bed"	"$80.00"	303	15	""
13904780	"Estudio playa con terraza y parking para 4-6 p."	50920106	"Concepcion"	"2015-12-09"	43.3164144445308	-1.98762818397884	"f"	"Apartment"	"Entire home/apt"	6	1	2	5	"Real Bed"	"$120.00"	148	14	"ESS00589"
16182153	"Zubieta by Forever Apartments"	105663223	"Pedro"	"2016-11-30"	43.3170459868549	-1.98754158520626	"f"	"Apartment"	"Entire home/apt"	10	2	4	5	"Real Bed"	"$113.00"	110	2	""
11840392	"Yoga house stay | Donosti Chill retreat house -7"	149691	"Alex"	"2010-06-22"	43.3235467229413	-1.97877376089534	"f"	"Apartment"	"Private room"	2	2.5	1	2	"Real Bed"	"$60.00"	329	15	""
2452343	"100 m from CONCHA beach+WIFI +PARKING (optional)"	4614604	"Apartamentos Donostia"	"2013-01-07"	43.3180988764263	-1.98366204137665	"t"	"Apartment"	"Entire home/apt"	6	1	2	3	"Real Bed"	"$85.00"	305	82	""
12544893	"Double room, old town, port &beach."	67141855	"Isabel & Aitor"	"2016-04-14"	43.3217942700222	-1.98637176356633	"f"	"Apartment"	"Private room"	2	1	1	1	"Real Bed"	"$63.00"	146	12	""
1895286	"COMODO PISO SAN SEBASTIAN, PARKING"	9848033	"Lola"	"2013-11-06"	43.3061761617841	-1.9695141401529	"t"	"Apartment"	"Entire home/apt"	7	2	3	5	"Real Bed"	"$95.00"	203	20	""
6978924	"Piso zona tranquila- relaxing area"	36595893	"Pomen"	"2015-06-24"	43.312716720413	-1.98835362703974	"t"	"Apartment"	"Entire home/apt"	6	2	2	4	"Real Bed"	"$110.00"	311	45	""
13737301	"¡Double bed room free wifi +parking! Nº1"	76289581	"Asier"	"2016-06-07"	43.2971698901949	-1.97330527643236	"f"	"Villa"	"Private room"	2	1	1	1	"Real Bed"	"$38.00"	335	44	"LSS00015"
12213602	"Habitación San Sebastian. Registro: LSS00057"	22790655	"Mai"	"2014-10-21"	43.294502861222	-1.95521894546718	"f"	"Apartment"	"Private room"	1	1	1	2	"Real Bed"	"$32.00"	284	11	"LSS00057"
13573456	"Rembramdt | City Centre, WIFI"	15707672	"The Rentals Collection"	"2014-05-19"	43.3201122707292	-1.98311823883691	"t"	"Apartment"	"Entire home/apt"	2	1	1	1	"Real Bed"	"$110.00"	273	0	""
